Day;Animals;Plants;Free_fields;Most_popular_genome;Avg_energy;Avg_lifespan
271;0;35;1;;0;0
272;0;35;1;;0;0
273;0;35;1;;0;0
274;0;35;1;;0;0
275;0;35;1;;0;0
276;0;35;1;;0;0
277;0;35;1;;0;0
278;0;35;1;;0;0
279;0;35;1;;0;0
280;0;35;1;;0;0
281;0;35;1;;0;0
282;0;35;1;;0;0
283;0;35;1;;0;0
284;0;35;1;;0;0
285;0;35;1;;0;0
286;0;35;1;;0;0
287;0;35;1;;0;0
288;0;35;1;;0;0
289;0;35;1;;0;0
290;0;35;1;;0;0
291;0;35;1;;0;0
292;0;35;1;;0;0
293;0;35;1;;0;0
294;0;35;1;;0;0
295;0;35;1;;0;0
296;0;35;1;;0;0
297;0;35;1;;0;0
298;0;35;1;;0;0
299;0;35;1;;0;0
300;0;35;1;;0;0
301;0;35;1;;0;0
302;0;35;1;;0;0
303;0;35;1;;0;0
304;0;35;1;;0;0
305;0;35;1;;0;0
306;0;35;1;;0;0
307;0;35;1;;0;0
308;0;35;1;;0;0
309;0;35;1;;0;0
